0.73,0.0006,0.015,0.12,0.082,0.146
0.24,0.00025,0.03,0.143,0.133,0.108
0.47,0.0019,0.024,0.102,0.131,0.078
0.64,0.0009,0.017,0.077,0.09,0.085
0.23,0.00025,0.026,0.139,0.09,0.153
0.69,0.00025,0.016,0.086,0.07,0.123
0.85,0.00025,0.023,0.128,0.104,0.121
0.48,0.00208,0.02,0.086,0.078,0.11
0.67,0.0013,0.024,0.087,0.109,0.08
0.76,0.0001,0.029,0.124,0.128,0.097
0.62,0.011,0.008,0.073,0.074,0.098
0.18,0.0001,0.023,0.098,0.085,0.115
0.59,0.0008,0.023,0.094,0.099,0.09475
0.49,0.0006,0.023,0.113,0.102,0.111
0.53,0.0023,0.02,0.063,0.095,0.066
0.39,0.0001,0.018,0.09,0.071,0.126
0.39,0.0006,0.02,0.114,0.1,0.114
0.65,0.0016,0.018,0.078,0.092,0.085
0.64,0.032,0.014,0.085,0.116,0.071
0.5,0.061,0.0096,0.013,0.116,0.011
0.76,0.0001,0.0208,0.098,0.101,0.097
0.62,0.0037,0.0206,0.086,0.091,0.095
0.63,0.00189,0.0206,0.11118,0.099,0.11207
0.53,0.0006,0.026,0.136,0.119,0.114
0.62,0.00208,0.0208,0.087,0.093,0.094
0.77,0.0009,0.024,0.1,0.08,0.124
0.77,0.0008,0.014,0.124,0.12,0.103
0.78,0.025,0.009,0.05,0.084,0.06
0.27,0.0005,0.013,0.108,0.079,0.137
0.57,0.00189,0.0206,0.11118,0.099,0.11207
0.28,0.00189,0.0206,0.11118,0.099,0.11207
0.72,0.0003,0.006,0.12,0.104,0.113
0.22,0.0005,0.017,0.083,0.086,0.097
0.22,0.0009,0.025,0.11,0.1,0.11
0.33,0.0004,0.022,0.09,0.098,0.091
0.44,0.0009,0.018,0.119,0.098,0.12
0.31,0.0001,0.032,0.207,0.157,0.132
0.38,0.0013,0.028,0.122,0.11,0.111
0.38,0.00959,0.048,0.168,0.028,0.612
0.38,0.0079,0.0469,0.123,0.028,0.445
0.2,0.00189,0.0206,0.11118,0.099,0.11207
0.72,0.0001,0.025,0.18,0.083,0.217
0.78,0.0001,0.006,0.07,0.09,0.177
0.61,0.00979,0.004,0.081,0.064,0.126
0.38,0.0001,0.015,0.106,0.079,0.134
0.83,0.0029,0.014,0.095,0.081,0.118
